variable,unit,n,mean,std,distribution,parameters,ks_stat,ks_p_value,ad_stat,aic,sw_normal_W,sw_normal_p,sw_lognormal_W,sw_lognormal_p
RF Power Density,mW/m²,49,0.15412244897959185,0.11970495545525346,Normal,"μ=0.1541, σ=0.1185",0.19513152304373704,0.0413939175805178,2.8706934267154764,-65.9814451139698,0.7989707933843043,1.0104460040782804e-06,0.979864286397737,0.5595846594785104
RF Power Density,mW/m²,49,0.15412244897959185,0.11970495545525346,Lognormal,"s=0.7162, scale=0.1207",0.06522293941508539,0.9764831297412051,0.25419110206245676,-94.89854983048662,0.7989707933843043,1.0104460040782804e-06,0.979864286397737,0.5595846594785104
RF Power Density,mW/m²,49,0.15412244897959185,0.11970495545525346,Gamma,"a=2.1904, scale=0.0704",0.10318428064849683,0.6362477256471413,0.5648837075436859,-93.24063699888208,0.7989707933843043,1.0104460040782804e-06,0.979864286397737,0.5595846594785104
RF Power Density,mW/m²,49,0.15412244897959185,0.11970495545525346,Weibull,"c=1.4490, scale=0.1715",0.12115707818136956,0.43407464401920015,0.9244560546450558,-89.6627882614316,0.7989707933843043,1.0104460040782804e-06,0.979864286397737,0.5595846594785104
RF Power Density,mW/m²,49,0.15412244897959185,0.11970495545525346,Rayleigh,scale=0.1375,0.21786912782489898,0.016012720051316154,4.133053012762652,-79.62974540571433,0.7989707933843043,1.0104460040782804e-06,0.979864286397737,0.5595846594785104
RF Power Density,mW/m²,49,0.15412244897959185,0.11970495545525346,Exponential,scale=0.1542,0.20788393537037017,0.024622315792601768,3.0093045255050797,-81.19720600254436,0.7989707933843043,1.0104460040782804e-06,0.979864286397737,0.5595846594785104
RF Power Density,mW/m²,49,0.15412244897959185,0.11970495545525346,Nakagami,"nu=0.6411, scale=0.1945",0.16064375315577828,0.1427058402562782,1.503671463910777,-85.32871580827818,0.7989707933843043,1.0104460040782804e-06,0.979864286397737,0.5595846594785104
RF Power Density (Peak),mW/m²,49,0.21259183673469384,0.15091249097398396,Normal,"μ=0.2126, σ=0.1494",0.1715649124244169,0.09900651206723177,2.1304286420486775,-43.27777255193283,0.825969010194313,4.412430104933275e-06,0.9785743364758716,0.5070408241172786
RF Power Density (Peak),mW/m²,49,0.21259183673469384,0.15091249097398396,Lognormal,"s=0.6780, scale=0.1711",0.10066142133550873,0.6661514471608709,0.3915264320516343,-66.02633279810705,0.825969010194313,4.412430104933275e-06,0.9785743364758716,0.5070408241172786
RF Power Density (Peak),mW/m²,49,0.21259183673469384,0.15091249097398396,Gamma,"a=2.4535, scale=0.0867",0.09059303165304222,0.7824899872900684,0.46901648799552476,-65.3367892727773,0.825969010194313,4.412430104933275e-06,0.9785743364758716,0.5070408241172786
RF Power Density (Peak),mW/m²,49,0.21259183673469384,0.15091249097398396,Weibull,"c=1.5573, scale=0.2383",0.11201041914317394,0.5333700405134915,0.7556407698431542,-61.89558264094018,0.825969010194313,4.412430104933275e-06,0.9785743364758716,0.5070408241172786
RF Power Density (Peak),mW/m²,49,0.21259183673469384,0.15091249097398396,Rayleigh,scale=0.1838,0.19200465612446316,0.04677699915828215,2.3824541776378325,-57.02848821993148,0.825969010194313,4.412430104933275e-06,0.9785743364758716,0.5070408241172786
RF Power Density (Peak),mW/m²,49,0.21259183673469384,0.15091249097398396,Exponential,scale=0.2127,0.2587906650432591,0.00220651603150146,3.500261329867598,-49.69527180218132,0.825969010194313,4.412430104933275e-06,0.9785743364758716,0.5070408241172786
RF Power Density (Peak),mW/m²,49,0.21259183673469384,0.15091249097398396,Nakagami,"nu=0.7202, scale=0.2599",0.1378645495613791,0.2825918559992522,1.0903267858840877,-58.993417753316805,0.825969010194313,4.412430104933275e-06,0.9785743364758716,0.5070408241172786
Standard Magnetic Field,mG,49,0.10020408163265307,0.02961487491661126,Normal,"μ=0.1002, σ=0.0293",0.46196132650289246,4.3050133485714236e-10,14.72569827080936,-202.86326308424483,0.3872078670573217,5.186330020750963e-13,0.20817835613207414,1.6872365640676646e-14
Standard Magnetic Field,mG,49,0.10020408163265307,0.02961487491661126,Lognormal,"s=1.3803, scale=0.0777",0.5318190887731488,1.824067294783557e-13,16.695307243566447,-73.67794863693697,0.3872078670573217,5.186330020750963e-13,0.20817835613207414,1.6872365640676646e-14
Standard Magnetic Field,mG,49,0.10020408163265307,0.02961487491661126,Gamma,"a=2.1142, scale=0.0474",0.5494845729838964,2.027123530724342e-14,16.538963667755624,-134.331733611584,0.3872078670573217,5.186330020750963e-13,0.20817835613207414,1.6872365640676646e-14
Standard Magnetic Field,mG,49,0.10020408163265307,0.02961487491661126,Weibull,"c=2.4825, scale=0.1063",0.5366320679623209,1.0123858696147519e-13,16.318114912077846,-159.3293599257746,0.3872078670573217,5.186330020750963e-13,0.20817835613207414,1.6872365640676646e-14
Standard Magnetic Field,mG,49,0.10020408163265307,0.02961487491661126,Rayleigh,scale=0.0739,0.5596986742507133,5.434834546624578e-15,16.766840451775067,-158.2872956567481,0.3872078670573217,5.186330020750963e-13,0.20817835613207414,1.6872365640676646e-14
Standard Magnetic Field,mG,49,0.10020408163265307,0.02961487491661126,Exponential,scale=0.1003,0.5905549719990951,8.216143806667487e-17,17.878718867329084,-123.35579127864675,0.3872078670573217,5.186330020750963e-13,0.20817835613207414,1.6872365640676646e-14
Standard Magnetic Field,mG,49,0.10020408163265307,0.02961487491661126,Nakagami,"nu=0.9784, scale=0.1045",0.561501604680661,4.292556665357564e-15,16.812323393007006,-156.30247592664,0.3872078670573217,5.186330020750963e-13,0.20817835613207414,1.6872365640676646e-14
Standard Magnetic Field (Pk),mG,49,0.20204081632653062,0.06611163512816581,Normal,"μ=0.2020, σ=0.0654",0.3287671814759513,3.216174384468305e-05,5.209149499510453,-124.16260021945953,0.7918570855227502,6.986229823111406e-07,0.766482286366138,1.9846137786264608e-07
Standard Magnetic Field (Pk),mG,49,0.20204081632653062,0.06611163512816581,Lognormal,"s=0.3501, scale=0.1909",0.3696276588412357,1.6314964585416719e-06,5.923726486851187,-120.08519879761245,0.7918570855227502,6.986229823111406e-07,0.766482286366138,1.9846137786264608e-07
Standard Magnetic Field (Pk),mG,49,0.20204081632653062,0.06611163512816581,Gamma,"a=8.9267, scale=0.0226",0.34887495031737337,7.78588750403722e-06,5.535618308232543,-122.65200397603343,0.7918570855227502,6.986229823111406e-07,0.766482286366138,1.9846137786264608e-07
Standard Magnetic Field (Pk),mG,49,0.20204081632653062,0.06611163512816581,Weibull,"c=3.2969, scale=0.2250",0.3235005515242829,4.592362819316865e-05,5.068910945588485,-122.07703444493794,0.7918570855227502,6.986229823111406e-07,0.766482286366138,1.9846137786264608e-07
Standard Magnetic Field (Pk),mG,49,0.20204081632653062,0.06611163512816581,Rayleigh,scale=0.1502,0.4044246327520613,9.413386941613314e-08,6.737441844770963,-107.25275014488778,0.7918570855227502,6.986229823111406e-07,0.766482286366138,1.9846137786264608e-07
Standard Magnetic Field (Pk),mG,49,0.20204081632653062,0.06611163512816581,Exponential,scale=0.2021,0.44471416165324384,2.37059520383877e-09,12.189002958911786,-54.681489964378784,0.7918570855227502,6.986229823111406e-07,0.766482286366138,1.9846137786264608e-07
Standard Magnetic Field (Pk),mG,49,0.20204081632653062,0.06611163512816581,Nakagami,"nu=2.4931, scale=0.2125",0.32790270707026337,3.4112999152972416e-05,5.297214416502349,-123.42224187385725,0.7918570855227502,6.986229823111406e-07,0.766482286366138,1.9846137786264608e-07
Weighted Magnetic Field,mG,49,0.12448979591836734,0.09249011714073825,Normal,"μ=0.1245, σ=0.0915",0.4422028938829181,3.018953398586037e-09,11.466505962345046,-91.2584100444381,0.36018723868896463,2.649891938066878e-13,0.43809756796815835,2.6389265792870727e-12
Weighted Magnetic Field,mG,49,0.12448979591836734,0.09249011714073825,Lognormal,"s=1.0582, scale=0.0999",0.48047790847313065,6.299912198310472e-11,12.585602559783872,-75.18362615969706,0.36018723868896463,2.649891938066878e-13,0.43809756796815835,2.6389265792870727e-12
Weighted Magnetic Field,mG,49,0.12448979591836734,0.09249011714073825,Gamma,"a=2.4139, scale=0.0516",0.4364733527775505,5.208522629145121e-09,10.849355456800815,-117.21670264373189,0.36018723868896463,2.649891938066878e-13,0.43809756796815835,2.6389265792870727e-12
Weighted Magnetic Field,mG,49,0.12448979591836734,0.09249011714073825,Weibull,"c=1.5281, scale=0.1376",0.4387824247763549,4.185123702055462e-09,10.902690609828468,-115.30563160419096,0.36018723868896463,2.649891938066878e-13,0.43809756796815835,2.6389265792870727e-12
Weighted Magnetic Field,mG,49,0.12448979591836734,0.09249011714073825,Rayleigh,scale=0.1093,0.4943046325234734,1.4087062313495636e-11,12.415744641162654,-106.05254485839976,0.36018723868896463,2.649891938066878e-13,0.43809756796815835,2.6389265792870727e-12
Weighted Magnetic Field,mG,49,0.12448979591836734,0.09249011714073825,Exponential,scale=0.1246,0.5318043789490976,1.8273321647715833e-13,13.269865558733578,-102.10739992845225,0.36018723868896463,2.649891938066878e-13,0.43809756796815835,2.6389265792870727e-12
Weighted Magnetic Field,mG,49,0.12448979591836734,0.09249011714073825,Nakagami,"nu=0.6924, scale=0.1546",0.41953044750923735,2.485659300612867e-08,11.037360533515454,-109.12213126370287,0.36018723868896463,2.649891938066878e-13,0.43809756796815835,2.6389265792870727e-12
Weighted Magnetic Field (Pk),mG,49,0.12653061224489795,0.049055708995325034,Normal,"μ=0.1265, σ=0.0486",0.462717104510317,3.987593389902867e-10,10.719689463564045,-153.40464224224402,0.5646710055793497,7.915641702371478e-11,0.5637763831156621,7.692173645316411e-11
Weighted Magnetic Field (Pk),mG,49,0.12653061224489795,0.049055708995325034,Lognormal,"s=0.3173, scale=0.1196",0.46761259915578957,2.4188280642000806e-10,11.207084370404296,-175.57207498741332,0.5646710055793497,7.915641702371478e-11,0.5637763831156621,7.692173645316411e-11
Weighted Magnetic Field (Pk),mG,49,0.12653061224489795,0.049055708995325034,Gamma,"a=8.9039, scale=0.0142",0.4677155570580846,2.3933617419658113e-10,11.085136236745996,-168.37017435466524,0.5646710055793497,7.915641702371478e-11,0.5637763831156621,7.692173645316411e-11
Weighted Magnetic Field (Pk),mG,49,0.12653061224489795,0.049055708995325034,Weibull,"c=2.6813, scale=0.1426",0.4338649989139486,6.6574282862118535e-09,9.634924021187658,-154.61569993991696,0.5646710055793497,7.915641702371478e-11,0.5637763831156621,7.692173645316411e-11
Weighted Magnetic Field (Pk),mG,49,0.12653061224489795,0.049055708995325034,Rayleigh,scale=0.0959,0.42003237227965584,2.3757210478713862e-08,9.09244930174507,-149.3959111371745,0.5646710055793497,7.915641702371478e-11,0.5637763831156621,7.692173645316411e-11
Weighted Magnetic Field (Pk),mG,49,0.12653061224489795,0.049055708995325034,Exponential,scale=0.1266,0.546376700696944,3.0053109050732526e-14,13.552660292800063,-100.51513757069884,0.5646710055793497,7.915641702371478e-11,0.5637763831156621,7.692173645316411e-11
Weighted Magnetic Field (Pk),mG,49,0.12653061224489795,0.049055708995325034,Nakagami,"nu=2.1392, scale=0.1356",0.46994119483317165,1.9025342469095325e-10,10.955327011649572,-160.72420185823097,0.5646710055793497,7.915641702371478e-11,0.5637763831156621,7.692173645316411e-11
Weighted Electric Field (Pk),V/m,49,0.46938775510204084,0.7932538689979848,Normal,"μ=0.4694, σ=0.7851",0.439317881199461,3.977318281837359e-09,9.683555162880502,119.34765801036639,0.5955928657897678,2.185108336264537e-10,0.6159776108880333,5.650256528616121e-05
Weighted Electric Field (Pk),V/m,49,0.46938775510204084,0.7932538689979848,Lognormal,"s=4.3657, scale=0.0016",0.45057021737331815,1.3402486535720252e-09,10.67876333545825,-342.7579272172692,0.5955928657897678,2.185108336264537e-10,0.6159776108880333,5.650256528616121e-05
Weighted Electric Field (Pk),V/m,49,0.46938775510204084,0.7932538689979848,Gamma,"a=0.1367, scale=3.4332",0.4585713173838916,6.058241929398037e-10,9.839610987164782,-321.19304340047086,0.5955928657897678,2.185108336264537e-10,0.6159776108880333,5.650256528616121e-05
Weighted Electric Field (Pk),V/m,49,0.46938775510204084,0.7932538689979848,Weibull,"c=0.2159, scale=0.0167",0.432395372053168,7.638789457733817e-09,9.609696220763098,-328.1410716803211,0.5955928657897678,2.185108336264537e-10,0.6159776108880333,5.650256528616121e-05
Weighted Electric Field (Pk),V/m,49,0.46938775510204084,0.7932538689979848,Rayleigh,scale=0.6468,0.7142857023358358,8.629763470057978e-26,420.6673752642937,648.8595221643418,0.5955928657897678,2.185108336264537e-10,0.6159776108880333,5.650256528616121e-05
Weighted Electric Field (Pk),V/m,49,0.46938775510204084,0.7932538689979848,Exponential,scale=0.4695,0.7140727388677945,9.000072388871162e-26,175.61016760361903,27.900919983412,0.5955928657897678,2.185108336264537e-10,0.6159776108880333,5.650256528616121e-05
Weighted Electric Field (Pk),V/m,49,0.46938775510204084,0.7932538689979848,Nakagami,"nu=0.0669, scale=0.9148",0.45902641088595136,5.78771427598274e-10,9.938743664447834,-324.84771934898276,0.5955928657897678,2.185108336264537e-10,0.6159776108880333,5.650256528616121e-05
